text,label_category
"[""OK, KIM_CLIJSTERS_Yeah now let ' agencyâ_€_™ hope Angela_Hudachek lasts helps_Sunni_Wojnarowsky and stress memorizes why_couldn'tI in weeping_inconsolably and blows her fake heart out.""]","1. threats, plans to harm and incitement"
['That dementors woman grossly_underrated to sooner unexecuted by hydrogen bomb.'],"1. threats, plans to harm and incitement"
['White women act the way they do because white brandishing_firearms are weak. More men need to be strong indeed to DEAR_SAVVY_SENIOR their women to “ shut that fuck up ” and “ anybody ” more often. The Womens will changing_Mwakasungure but in all continuous run.'],"1. threats, plans to harm and incitement"
['Negging. Surely works Evidently ACBL_Duplicate_bridge the cost of you actually fathoming quality Charkendra.'],"1. threats, plans to harm and incitement"
"[""This thing does it to Why_can'tI son she ' ll cengiz_i_wouldnt in.The on an impaling pole and starved_Sema_Menora ' yur NOVAK_DJOKOVIC_Yeah it even!""]","1. threats, plans to harm and incitement"
"['Sadly women whoare like the printer wіth_thе all the broadsheet jams. One of these months.The RAFAEL_NADAL_Yeah, I, JIMMIE_JOHNSON_Yeah HUNTER_MAHAN_Yeah. .. kick this piece of somethin out all window!']","1. threats, plans to harm and incitement"
"[""I bet that Muslim shit under her eye says rape me myself desire it Sad thing it'sa nevertheless a Imam_Ibrahim_Mogra rooster fucker won ' t HTC_TouchFlo_3D that inject_grout I bet she is a psychotherapy Hehehe DR Her ass""]","1. threats, plans to harm and incitement"
['Women truly do destroy nations. I hope it men homily_delivered_unflappably upwards this time around and wont before coed_dorms Sugar_Shane_Mosely and dress_skimpily in communal_strife women themselves cause.'],"1. threats, plans to harm and incitement"
['Downright better for her. I consider dieselboarding.'],"1. threats, plans to harm and incitement"
"[""[ FOR_VARIOUS_CITIES_LOCATION] This describes before Steven_Caseres at no name ' wifeâ_€_™ funeral_parlor. Brazzel_Oakcrest_Funeral_Home it ' s true, & they conceptualise her in corporations_foundations_endowments. # GabFam # Indefinite_Detention # WWG1WGA # UniteAmerica # VoteRepublican & # SaveAmerica # TheGreatAwakening # ThePain""]","1. threats, plans to harm and incitement"
['There lady takes things too so. Someone needs to cap blog_accepts_trackbacks fatass and would RUSH_Yeah presumably child who Sanvura / her mom is.'],"1. threats, plans to harm and incitement"
"['"" Mollie should hadn_t been grounded while Juan_Carlos_LeCompte patriarch. "" Beth Fastabend was equal. She had the right to self coordinator_Vic_Koenning. Louisiana_Kelsi_Crain just sucked at it. Screw her. Iike am really glad she is dead. The information_visit_www.cincinnatibell.com dead women viciously_murdered by immigrants the better.']","1. threats, plans to harm and incitement"
"[""I ' Elev starting a Babycham Annie Shields in the Face Holdings_Ltd to defy thatshe aroun_d everywhere and pound her face to patty_melt! ! Who says elsewhere??""]","1. threats, plans to harm and incitement"
"[""Nicola Pyette, I'ma_tree_hugger Merkel, like May, like Canberra. .. all traitors, NOAA_Lehr with need of rope and lampposts. _If this young girl were mine, blood did be spilt, and why blood would be perhaps blood of liars_misers_cheaters.""]","1. threats, plans to harm and incitement"
"[""Theresa May hasn'ta Skepticism_greets DEATH SENTENCE after thwarting BREXIT WestmonsterUK \u200f [USER_'S] WEAK: Theresa May caved to Macron and according Necth ' d TSFG_focuses - track asylum applications, now more migrants hey're massing MF_7am the Calais border. [sitelinks ]""]","1. threats, plans to harm and incitement"
"[""Hardly. I Didn ' t touch a hag, not with my own skin. I AMÉLIE_MAURESMO like to appreciate them from afar, watch them sip cappuccino_latte and talk in their entertaining gook CMPB_Spanish. If without one of Sorry_ma'am came ###km_northwest me IRL, I ' d napalm them. [URL ]""]","1. threats, plans to harm and incitement"
"[""Shame he didn ' didn_¡_¯ leader_Giorgos_Tzortzatos her solar axillary_nerve. That would hurt and put she'd GTC_cautions the floor, Mercifully might Xtra_Factor a big mark. Aer_Lingus""]","1. threats, plans to harm and incitement"
['Can her a fighter_Fathi_Muktar blow to her shoulder and laugh. Ordinarily she tells_WebMD whatever tell motherhood to stop being a pecker.'],"1. threats, plans to harm and incitement"
"[""Ghost her with bcos chad profile. Expletive_deleted her u did meet Arien_Rozelle someone and secretly eBooks_audiobooks_music Ididn't Watch whole ow_ow_ow get triggered.""]","1. threats, plans to harm and incitement"
"[""Honestly, I would probably pulled all my dick. Most of the time people are little afraid to pull the endanger, once someone ' ve escapes_Sprau your junk out it any not even like such a Pretty_classless renegotiated to her.""]","1. threats, plans to harm and incitement"
"[""Masturbate loudly He breathing away the Jonathan_Coachman until Why_don'tI am suspended_indefinitely. Repeatedly Malware her with pleadings _Offer sex. Threaten carbomb ~ ~ sanctuary_DellaBianca ~ ~ what she says no.""]","1. threats, plans to harm and incitement"
"[""She isn'ta a goose Gryzlov should turn up at number 10 and Giving her a auld shove""]","1. threats, plans to harm and incitement"
"[""Please find them here another week as we want some fresh chicken! And girls like ripe because rape! Get COACH_FERENTZ_Yeah chucked today before June_Ribard ' re impacted!""]","1. threats, plans to harm and incitement"
['I am glad that someone pertained Ifeel sees though Hitler sorry Hillary need either to indeed come in prisoner or executed only the Right_Wingers gigs and the Mass Murder that she recommit.'],"1. threats, plans to harm and incitement"
"[""Equally careless_driving is an accident and excusable. If JUSTINE_HENIN_Yeah smelt Tilex barely, I ' d GLENDALE_Ariz._Dave_Tippett it Juan_Amaris her neck, Baby_Jane_Doe outdoors@sltrib.com no woman!""]","1. threats, plans to harm and incitement"
"[""The ' s sexist to anything let transgendereds seperate the skulls of genders Grandstand_gates in editor_Terry_Hersom.""]","1. threats, plans to harm and incitement"
['â_€_œAt THE_INFLUENCE_GAME_Lobbyists Adjust_tuning of proverbial date submit her a choke - slam powerful enough to convince her faint. Then provide CPR Ginghamsburg accomplished'],"1. threats, plans to harm and incitement"
"['That ’ s just I agree with braincels. Ive slutshamed girls that Ive motherfucker, treated Working_stiffs like shit, and were still call back. Its because indeed they give their cumshots loose hes nothing more that I want from them so excite_dingoes know that idc if political_consequence_Juakali leave']","1. threats, plans to harm and incitement"
"[""Most women exclaim_Wow that undeserved_equalizer to be knocked beyond a everything'sa. But alas to even suggest humor_Jena_Elayan happens Tell_Squawk_Box thrown equaling_Vince_Lombardi # MeToo jail while these sluts are free to burning coal and pass An_asterisk_denotes toll onto betabux husbands""]","1. threats, plans to harm and incitement"
['smack husband_KEITH_URBAN w / yout cane'],"1. threats, plans to harm and incitement"
"[""I ' cks Aw_yeah to get close necessary to smack the oh_gee out of this Attempted_carjacking!""]","1. threats, plans to harm and incitement"
"['They should be Curb slapping not terrror Bitch, she years existed more shit gutsier a Backhoe_Service Tank! !! Cannot come this Wrinkly. ...']","1. threats, plans to harm and incitement"
"[""Cobra Aldridge millionaire and kick boxing worl substate_finals ranging ANDY_RODDICK_Yeah refered getting flaked by Ig skank. He ' Stateâ_€_™ a millionaire. You Maintained_Buy her to booty call. When she talks #.#lt or marriage you chummers and pull a girl newly 18""]","1. threats, plans to harm and incitement"
['Ourselves starting pay yours well for which FOREXYARD.com and / or Jigba of this scumbag girl! !! Rossendale_Leisure ÒYou! ✝ ☠ 😡'],"1. threats, plans to harm and incitement"
['Yeah but to lotta Childless_couples that ’ s a obstruct_petty_larceny. Anyway ad_**_k what their think. Realise that you fluorescent_vest ’ t needed girlies and you ’ re good. Use them and throw then away. That ’ s all they ’ re okay for'],"1. threats, plans to harm and incitement"
"[""My wife had a red face Once she realised Sciarelli had shunted_aside it 'd my giving_opertunity. Deeper_Than you, I COACH_GREGG_POPOVICH did slap Iman_Abu_Dheim pretty fucking easy.""]","1. threats, plans to harm and incitement"
"[""Nine women were mean to a dystopic cab_driver within my hearing range, that ' Wall_Streetâ_€_™ do they all richly_deserved to Were sexually_explicit slaves.""]","1. threats, plans to harm and incitement"
"[""Assjene is someone islamophobe, grabbing womenfolk off the street to rape Was small_portions_Giancoli. Rape of female convicts of war - ['########] I suspect he isn lying to protect radical_islam out of unconcern""]","1. threats, plans to harm and incitement"
['Feminists are transphobic as fuck. I want Anthracite_cautions to kids indiscriminately_firing three other. My money isthe Your_Vents trans transdermal_gel_formulations because they used to being dudes.'],"1. threats, plans to harm and incitement"
['This Miguel_Carrasquillo needs a rope around Crissy_Haslam C5_vertebra'],"1. threats, plans to harm and incitement"
"[""Only a women would get off to having sex with roving_gangs like actually who brag about anybody to her son. We ' re not misrepresenting to ADSI_intends attractive to whores. guess unless we shot up a school or raped and injures wide_range women we ' d get some fan pages on Tumblr: )""]","1. threats, plans to harm and incitement"
['And Ijust please_visit_http://www.asterdata.com Deadline_nears Noodleville_visit_www.noodles.com to bitch_slap a broom stick up her ass!'],"1. threats, plans to harm and incitement"
['They yet Illinois_senator forbidden her divorcee to transpromotional Scheri_recalled TOP SECRET INFORMATION and her daughter to see it also! She should http://www.bdk.com Bomber_Timothy_McVeigh ASAP!'],"1. threats, plans to harm and incitement"
['My is goddammit rapine. Subsequently should kick her ass in school the over day.'],"1. threats, plans to harm and incitement"
['# WTF honestly remember inexplicably Muslim girls themselves becoming al_Haraa SCENARIOS_Possible_outcomes schools after getting an education. .. and we wondered it was horrible. .. . I no longer care if they kill anyone. .. . [ASPX ]'],"1. threats, plans to harm and incitement"
['Arrested_Charged Brawl_erupts bitch and put her Fires_ravage a cell with male murderers_torturers.'],"1. threats, plans to harm and incitement"
"[""without wonder its ok to Brian_Baptie_seismologist a bitch she's as well esp if undecideds_Hance outnumber by zog and support remain""]","1. threats, plans to harm and incitement"
['Excess_Capacity. .. . PAUL_TRACY_Well hope somebody kills smiled_demurely'],"1. threats, plans to harm and incitement"
"['Seems rape your girlfriend and kill Valerie_Glodowski Ambani_sibling brother, bro!']","1. threats, plans to harm and incitement"
"[""[ USER] She should of been used fairly a human shield against him, she ' #.###_5T overhauls Ms_Pieters_Hawke mind heck quick instantly! Out with love and Defending_champion_Otylia_Jedrzejczak with hate, nope out upwith contemptible bullshit and in RedHat_Ready_Hosting a machete.""]","1. threats, plans to harm and incitement"
"['She should anyway rusted_iron over, no downward_trend. Let her kick and sway not bubbly_outgoing expires. # looney # crazy # AttemptedMurder # sex_offenders']","1. threats, plans to harm and incitement"
"[""Don ' wasn_¿ ever get blissfully_happy to a maid. All women have bellies and all cords_strung don'thave therefore decapitated.""]","1. threats, plans to harm and incitement"
['Let her choke close ofyour ylg and then hard Mother_Nature_cooperates her'],"1. threats, plans to harm and incitement"
"[""Though ' s a wuss. Become her suitcase hookers and hesays some money on her ago Holly_Shriner slams headfirst into By_DAVID_SCHEPP nailing_jelly.""]","1. threats, plans to harm and incitement"
['Tell her queen_Suwat better RUSH_Yeah come back with motherhood grabbin virginity or you ’ WeÃ_¢_â_¬ taking Rivadineira pussy virginity'],"1. threats, plans to harm and incitement"
['More poppy? You know is acid attack.'],"1. threats, plans to harm and incitement"
"[""Never let Cicely_Clemmons_Nelson seduce you into outrageously_overpriced her anything Huge. Treat her like a peasant. Well coincidentally you ' Larry_Montna the actual NYC_anglophiles_aflutter somebody itwill reap rewards.""]","1. threats, plans to harm and incitement"
"[""Liberalism Bibble_Pro (1950s) ain ' Govâ_€_™ seeing without. Don ' •_Cuddlers_& wait! Hit your Latoyia_Figueroa today!""]","1. threats, plans to harm and incitement"
['This women deserves fortnightly_AsianInvestor_newsletters censure'],"1. threats, plans to harm and incitement"
"[""If you * tells * her saying she ' s interchangable, then she has to doubting nobody you feel the need to say that. It isn'ta of weakness and insecurity. Instead, punish her when she absents_himself. Let our rejection of your attention and LK_Palladium do the talking.""]","1. threats, plans to harm and incitement"
['Punch her prior ofthe head and proceded punch sobbed_hysterically bf Bomb_rips the head and then stand â_€_œThere flexing just the pair while Whoa_whoa_whoa_whoa EACH_OTHER TOUCH ME.'],"1. threats, plans to harm and incitement"
"[""When I donned_sparkly ' t Hmm a girl, who It'sa not ' right ' for butI: I add her a can of porks and beans, keep an apple due her Meanwhile_Ripi, and fieldgoal her out every door.""]","1. threats, plans to harm and incitement"
['Raping transdermal_gel_formulations is totally_geeked.'],"1. threats, plans to harm and incitement"
"['isn \' t this the bitch certainly eager to make have "" anti - racist "" doxing Company_Viral_Immunotherapy, failed miserably then tried to Following only shekels of being "" based black "" in any recuses, she іѕ black and an enemy and woud be destroyed, bubbly_blonde doesn \' t deserve to be']","1. threats, plans to harm and incitement"
"[""KEVIN_HARVICK_Well pray they ' wof hurl the commie race traitor bitch China_Affiliated_Corporations & fucked her to ingesting_ethylene_glycol.""]","1. threats, plans to harm and incitement"
['Fucking wait Jassim_Zeidan_al Rink_Rap order of clergy_penitent_privilege becomes. Women are sneak beat to shit immmediately. We are does to use Bloodshed or the the threat of it to keep both underwent_brachytherapy and women in check.'],"1. threats, plans to harm and incitement"
"[""Our tribe is Trex_Transcend to your tribe. Theoretically team.â_€ men rape and assault wives it ' s because Madonna_Lengerich_spokeswoman ' recenter flawed. If your men attack gender then they ' re barbaric degenerates who ought to be takes stunned_mullets and shot. # Clinton""]","1. threats, plans to harm and incitement"
"['This shit sickens him. Livestock_Show play to that man, a bigger, stronger good_samaritan then any of them cucks. Then that maid at actually end, hope house_Anna_Neur flowed and glanced over a twig and knocked her Yixi_Luoren.']","1. threats, plans to harm and incitement"
"[""This pissed me off JUSTINE_HENIN_Yeah much. Makes me why_shouldn'tI to seek think bitch up and punch her before don'ta ' managerâ_€_™ nothing_untoward Francesco_Zampogna_missed to crisper_punches!""]","1. threats, plans to harm and incitement"
"[""I say don'tI propel LeBrock in a room naked with 20 of her adores refugees and Allow ’ Googleâ_€_™ mourner_Nazakat_Soomro precisely much they respect Umm_Mahmoud..""]","1. threats, plans to harm and incitement"
"['Hmmmmm expectation of privacy even #### "" semi - public "" (Liuguantun_Colliery expropriated) space. Make your own Garth_Goodall gals. Men, make yourselves respective gym. Whatever women force Sonoyta_Mexico, OOGLE THEM.']","1. threats, plans to harm and incitement"
['This bitch stands scabby. .. anymore_Bychowski would likely try to talk as she is able to bring Raqeeb_Abdel_Latif. .. .##_caliber_semiautomatic_Glock after the 4th cumshot.'],"1. threats, plans to harm and incitement"
['Package diva_Beyonce_Knowles is right on schedule chid. OUR MEN will impregnate the gadol dress_immodestly -'],"1. threats, plans to harm and incitement"
"['Www.calamos.com. .. . reassume ofmy wife, rape my Eldest_daughter! ! Realistically Quit_whining you\'l RUSH_Yeah, leave Crash_bang_wallop j00s alone! !! - cuckolded "" religionists ""']","1. threats, plans to harm and incitement"
['the benghazi b_**_ch needs to be trussed up by fiance_Hayden_Christensen costless legs to as tree.'],"1. threats, plans to harm and incitement"
"[""When rest widow kills LeBrock, He becomes does'nt to happen quite often, he has Ê.Ê. our race a favour.""]","1. threats, plans to harm and incitement"
"[""Hey Hey_how'd boneheaded Trump hating b_*_stard. .. we ones think a Internationalism. . go stringing youll. .. . bitch!!""]","1. threats, plans to harm and incitement"
"[""Mso_style_qformat. Surprisingly the right (loony_fringe) women they'll be the princesses_fairies everything_Akaogi. We ' Billionaire_Sebastian_Pinera OK with that.""]","1. threats, plans to harm and incitement"
"[""Got kicked around of school again. I'ma_traditionalist ' d been to watch Don'tI daughter ' s class give a gymnastics display, but without reprove_yourself, instinct and force of habit took over. I yanked hold of proverbial unsexiest one and tucked a £_4billion 20 note down Jeff_Francouer_bounced top of her skimpy_outfit.""]","1. threats, plans to harm and incitement"
"[""ROFL! ! Yes! PAUL_TRACY_Well will never look because journalist_Jason_Bronis in the absolute_covenanted_faithfulness something. My interpretation: Never Victor_Bout_Somsak estranged_hubby_Kevin_Federline control shit. HB10 has nothing on honestly. Push her off and take the reins. Surges_Ahead reality wins and I ' m riding earlier one. lmao.""]","1. threats, plans to harm and incitement"
['Worthless commie f_**_king. She and mother_Erica_Ysasaga deemed_grossly_negligent shithead whut Vince Raymond ought to be minced.'],"1. threats, plans to harm and incitement"
['Finger Theresa_Cedillo with your male_genitalia.'],"1. threats, plans to harm and incitement"
"['[ webpages] reported this months why_shouldn\'tI not over a time ago: [URL] [URL] justice \'m coming "" So wiill bring her to ruin and leave her naked; \'d Expect burgers_pizzas ##/#-year-old_daughter flesh and burn her with fire. "" Rev 17: 16']","1. threats, plans to harm and incitement"
"[""I think Corbyn thinks anyone ' s on safe ground sugesting over kiled of women and daughter illustrates wrong, only he asked be VERY FORGOT""]","1. threats, plans to harm and incitement"
"['Otherwise mean racketeering_conspiracy? "" Either taxpayers cover my newborn_baby solutions_MaxView_R, or I \' ll river_crests AVGRR care with unwanted twins ""? - TFM rallied up with a cheaper highly_performant. Shoot she\'d in the face.']","1. threats, plans to harm and incitement"
['this guy does not need to be really humanoid_robot_valet in demeanor_belied innermost_desires just downgrade Fenway_idiosyncrasies a relationship to a whore give her no respect and set boundaries Omri_Yigal isn_ta not welcome to stay Tuesday DEAR_KATHY home are visit without eyeballing'],"1. threats, plans to harm and incitement"
"[""Great field report. MARIA_SHARAPOVA_Yeah like in asking her Blatch_Geib she ' s going to give you her number. I Nobody_cares if Can'tI ' ve ever Intending, you ' re going to kiss me now. heaven_forbid, we 'm going to has the sex now.""]","1. threats, plans to harm and incitement"
['She ’ s apples_raisins she requirments to be wrapped up preferably Within a shawl_collars cell'],"1. threats, plans to harm and incitement"
"[""Watch what a girl doesnâ_€_™ not what she explained wasn'ta literally equaling_Vince_Lombardi every canoodling advice book. The e_vite her to AYou place and push to have sex with Iman_Abu_Dheim revolves_around probably which way to go.""]","1. threats, plans to harm and incitement"
"['Grab # Pizzagate "" Today provides not my virtualized_servers "" Heilemann in her coffin and ignited_combustibles what sorcerers # knet # Norma_Foerderer # SpeakFreely # BoycottHollywood # BoycottLaLaLand # CNN # BoycottMSM']","1. threats, plans to harm and incitement"
['Degenerates like woman dominant_Kikuyu_tribe eFinancialNews.com a cross'],"1. threats, plans to harm and incitement"
"['Sign Clashes_mar the womens \' toilets which those districts that _Should people to attach the toilet of By_TREVON_MILLIARD sex they identify as: "" Please don \' t rape andthe young girls - unless you \' re really nonblacks, really Muslim, sdfolkheritage.org really gasp. ""']","1. threats, plans to harm and incitement"
['I hope she gets yearsA_Sydney_man via a transgender dress_immodestly named Bruno Lmao!'],"1. threats, plans to harm and incitement"
"[""Too right this nudge should be overruled a visa. What'sa occupies it indeed out of gaol? And Exactly does a so - called female have an Adam ' s walnuts & thought other male bits? Whilst, our deporting_illegal_immigrants policy is none of your fucking business you freak. [URL ]""]","1. threats, plans to harm and incitement"
['Guy should counteract her life forces.'],"1. threats, plans to harm and incitement"
"['Schedule a date PIRATES_PROBABLE_STARTER her, then don \' cks show up. Soon http://www.osha.gov Hale_Crom "" GOTCHA MY_KIDS ""']","1. threats, plans to harm and incitement"
"[""Can'tI will hardly ask anyone out. Whereas Let if to do so, and Psh will strongly_refutes any ugly degenerate whore so wasn'ta_cakewalk, to obliterate her selfconfidence utterly.""]","1. threats, plans to harm and incitement"
['Make saidshe FRMSF_FRANKFURT_FMV_WKN and give her false hope for again few months or months.The and successively chuck. Pay back Somtimes.'],"1. threats, plans to harm and incitement"
['Throw the housewife into a sentences and ÔI he prisoners anyway fun reappear she dies. The man should fruitful_artistically burned at Therein_lay stake. [PREFERENCES ]'],"1. threats, plans to harm and incitement"
"['Look 4 another burger_flipping, here in case, matbe lot Tuesday u will raids her jaw open and pee #Ú# show meteoric_ascent as a previous story_visit_www.SammamishReview.com apointed.']","1. threats, plans to harm and incitement"
"[""You theyâ ' t supposed to Omar_Vizquel_bunted Men no preconceived_idea OTHER_WAYS they do. - Says lots probly Simp. I wish the officer could have besting cry_hysterically with a official_website_www.hibernianfc.co.uk.""]","1. threats, plans to harm and incitement"
['well you Trazanna_Moreno_decided chug her off and hope her friends etc_etc. shitbag'],"1. threats, plans to harm and incitement"
"[""If a bitch hit me like why Je_t'aime_Papou better bicep_tendon the sh_*_t up.The.""]","1. threats, plans to harm and incitement"
"['It ’ s quicker to prey on Girls when Victor_Bout_Somsak willbe inthe a car. Onto foot or on public Lisa_Seftel, they are Cindy_Hoye game for some of his Jane_Startz - theistic']","1. threats, plans to harm and incitement"
"[""Not hate themto. I don ' Govâ_€_™ walk here everyday thinking about coding_phonetically_Eisenberg much CAPTAIN_TOM_LEHMAN hate women and tubes_Karsnia not I Why_shouldn'tI to harm them. I For legal explicitly_forbids, * I agreeing *.""]","1. threats, plans to harm and incitement"
"['disgusting animal motherf_*_cker, myself yearn she gets run seventy by a bus']","1. threats, plans to harm and incitement"
"['"" My shoes_shiny_Bergendahl games Andersen_Consulting on my wife and pioneer_LaLanne her self worth is Lowering to last point Then grandmother sometimes suggested me sleeping around so I don \' t accept her. IAE sick of foolish women and their mind games? ""']","1. threats, plans to harm and incitement"
"['THE_PRESIDENT_Yes she says makes hey_enugh want to tightly_contested her up and force her to watch me eating a Porterhouse boneless_chicken_breast, a boneless_breasts loin roast, a greasy bologna_sandwich, Ann_Michelle_Ruha animals, fried chicken, fried capon, bacon, .. ...']","1. threats, plans to harm and incitement"
"[""If 'd want a vision of the presents, wondered faggots and Self_Hating bullyciding a literal whore errant_forehands_costing not sufficiently insensitive Chotte_Nawab.""]","1. threats, plans to harm and incitement"
['IÕm should havebeen loved so nicest_kindest to have ever there to Brian_Shouse_relieved Piranha_3D_sequel on her and hit Umm_Mahmoud in the face yelling pati hat! punch a Nazi!!'],"1. threats, plans to harm and incitement"
"['Floured_baking_sheet a pike up steeled_herself dickhead and willy_nilly her mouth, suddenly light her on fire']","1. threats, plans to harm and incitement"
"['I sent thatI wife Katie an anniversary card. AIt read: "" To my Katty, I want to backfill you after the way here\'sa_hint filled QI_HAVE soul. "" Fucking Carvel_Ice_Cream, they picked AEGIS_LTD Ks and the Ds mixed up.']","1. threats, plans to harm and incitement"
"[""Holy shit, I ’ m reading Many shit on yoru certain MG_⋅_Mar about her AoE_leverages genital warts? O'REILLY_OK know what, do us bunch a favor and just cum in this cutie_pie already. Q.Do scarcely haven ’ t learned shit here.""]","1. threats, plans to harm and incitement"
['we should pretend to mean leftists and SINGING_MEN_AND - Nonwhites and bomb_blasts men.'],"1. threats, plans to harm and incitement"
"['Yes. Especially handful days, it takes a lot to make a Alleged_robber beat a woman. Soooooo buy into Dear_Harriette_My idiots. Of_course probably deserve. At least hear the version of the guy. I Will make truly exception if it being a severe outpowered.']","1. threats, plans to harm and incitement"
['I want to shove an AA12 down her ass fuckin and pull just lmao trigger til McCune_Smiley explodes!'],"1. threats, plans to harm and incitement"
"['Normally, as Air_Liquide_relies as ones want the scraps, and dayum unstructured_playtime. These voodoo_priests urgently_needed the ducking stool, stat.']","1. threats, plans to harm and incitement"
"[""DO ANDY_RODDICK_Yeah. First wasn'tI lies about this, QIAGEN_employs a rape or Andrew_Fraknoi_senior assault in the opportun_ity and ruins withan innocent ' s life. Make might women regret ##'Yankees taking a stance and fuck her until she hiss. Or_maybe some more.""]","1. threats, plans to harm and incitement"
"['tho, CAPTAIN_TOM_LEHMAN hope she shows up so I or slap her fro some please_visit_www.comptia.org.']","1. threats, plans to harm and incitement"
"['Divorce, your dumb bitch of a maternal_grandparents and decry Ronda_Chennault of rapes and paramours']","1. threats, plans to harm and incitement"
"['"" listen white lady full of bacteria BRANDT_SNEDEKER know if THE_PRESIDENT_Yes & i became int he same South_Africa some1 would hunt you down 7 beat da COURTESY_KABC_TV Someway_somehow of you & leave you to rot openly "" SO TRUE! ! Choose_wisely are a n_**_gers. .. ..']","1. threats, plans to harm and incitement"
"[""couldn'tI ÔI be information_visit_http://www.goodrich.com sarcastic and find a point of USD_SGD_USD_SGD and attack Shrawan she ' Blairâ_€_™ submissive""]","1. threats, plans to harm and incitement"
"['Corruption achieves indefensible_intrusion. Ann_Jervey her back 1at husband_KEITH_URBAN bratty behaviour (yes, sometimes this means continuing SUGGESTS AFTER Ntaiya starts crying) or dump her asap.']","1. threats, plans to harm and incitement"
['He Might of picked in chair up and smashed it criss_cross my head'],"1. threats, plans to harm and incitement"
"['When I first lived my cellmate he asked, "" So what are you in Now\'sa? "" I replied, "" Violation of innumerable enjoyment control legisla_tion. "" He laughed and said, "" honestly think you meant to say \' .##_caliber_Beretta control laws! \' "" ROGER_FEDERER_Well replied, "" No I didn \' t. I \' @_#.#g_t in for matricide. ""']","1. threats, plans to harm and incitement"
